MEDIA_ID;MEDIA_NAME;CNT;TIME(2020/04/22 10:08:13.074);TIMETICK(f=10000000);FPOGX;FPOGY;FPOGS;FPOGD;FPOGID;FPOGV;BPOGX;BPOGY;BPOGV;CX;CY;CS;USER;LPCX;LPCY;LPD;LPS;LPV;RPCX;RPCY;RPD;RPS;RPV;BKID;BKDUR;BKPMIN;LPMM;LPMMV;RPMM;RPMMV;DIAL;DIALV;GSR;GSRV;HR;HRV;HRP;TTL0;TTL1;TTLV;PIXS;PIXV;AOI;SACCADE_MAG;SACCADE_DIR;Column1
0;NewMedia0;17;0.27258;54272395435444;0.37206;0.05448;0.00000;0.27258;1;1;0.37908;0.43748;1;0.36250;0.09444;0;;0.40789;0.50480;15.19043;1.00625;1;0.67025;0.50950;15.58017;1.00625;1;0;0.00000;12;3.14380;1;3.03684;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;0.00000;0.00000;
0;NewMedia0;33;0.53291;54272398038803;0.35687;0.82736;0.34045;0.19247;2;1;0.36565;0.94338;1;0.35625;0.37870;0;;0.40692;0.50547;15.32946;0.98419;1;0.67008;0.51010;15.09486;0.98419;1;0;0.00000;12;3.03299;1;2.94284;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;835.21973;267.99890;
0;NewMedia0;47;0.75809;54272400290568;0.31510;0.98384;0.54810;0.20999;3;1;0.34341;1.09527;1;0.29167;0.73981;0;;0.40610;0.50619;15.50704;1.00625;1;0.66880;0.51097;15.81861;1.00625;1;0;0.00000;12;3.23595;1;3.14457;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;187.06218;244.61328;
0;NewMedia0;71;1.14902;54272404199831;0.23436;1.00905;0.82228;0.32674;4;1;0.26637;0.91308;1;0.23438;0.90741;0;;0.40473;0.50383;15.16138;1.04812;1;0.66780;0.50865;15.25183;1.03969;1;0;0.00000;12;2.99540;1;2.91017;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;157.39362;189.96144;
0;NewMedia0;109;1.77147;54272410424383;0.27278;0.99785;1.16283;0.60864;5;1;0.24251;1.05377;1;0.26406;0.98611;0;;0.40941;0.50230;14.84385;1.00625;1;0.67220;0.50918;15.08178;1.00625;1;0;0.00000;12;2.98624;1;3.04118;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;74.75159;9.31237;
0;NewMedia0;126;2.03547;54272413064398;0.27604;1.00300;1.77715;0.25832;6;1;0.25519;0.96317;1;0.26667;0.98519;0;;0.40850;0.50277;15.13044;1.00625;1;0.67117;0.50936;14.92337;1.00625;1;0;0.00000;12;3.00854;1;2.91100;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;8.37335;318.37506;
0;NewMedia0;144;2.32718;54272415981497;0.24131;1.01181;2.05200;0.27518;7;1;0.17340;1.01426;1;0.26146;0.98519;0;;0.40595;0.50379;15.15024;1.03156;1;0.66837;0.51048;15.39448;1.04000;1;0;0.00000;12;3.08869;1;3.01619;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;67.35699;188.12068;
0;NewMedia0;173;2.79745;54272420684285;0.21455;1.03380;2.34275;0.45471;8;1;0.33791;1.05909;1;0.23646;0.97500;0;;0.41027;0.50225;14.68401;1.00625;1;0.67265;0.50955;14.74387;1.00625;1;0;0.00000;12;2.92417;1;2.86638;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;56.60255;204.80804;
0;NewMedia0;180;2.90853;54272421795013;0.33331;0.97174;2.81203;0.09650;9;1;0.39129;0.78619;1;0.23646;0.97500;0;;0.41294;0.49906;13.74751;1.03156;1;0.67454;0.50727;14.26611;1.03156;1;0;0.00000;12;2.73171;1;2.89511;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;237.66589;16.38036;
0;NewMedia0;199;3.21607;54272424870316;0.88657;0.03183;2.97460;0.24147;10;1;0.91823;0.00946;1;0.80260;0.27222;0;;0.42104;0.49407;16.46749;0.99881;1;0.68277;0.50228;16.57992;0.99136;1;0;0.00000;12;3.36903;1;3.39272;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;1469.29517;43.69961;
0;NewMedia0;227;3.66899;54272429399555;0.92081;-0.02056;3.23264;0.43635;11;1;0.89307;-0.05073;1;0.88750;0.02778;0;;0.42075;0.49386;15.63452;1.00625;1;0.68249;0.50189;15.49095;1.00625;1;0;0.00000;12;3.39480;1;3.47835;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;86.73691;40.71761;
0;NewMedia0;262;4.23466;54272435056434;0.90445;-0.01499;3.68523;0.54945;12;1;0.56791;0.32157;1;0.92396;0.01111;0;;0.41930;0.49479;14.31571;1.00625;1;0.68083;0.50355;15.88912;1.00625;1;0;0.00000;11;3.12787;1;3.16528;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;31.98209;190.84149;
0;NewMedia0;278;4.49487;54272437658315;0.49544;0.26059;4.30017;0.19469;13;1;0.45574;0.02025;1;0.92396;0.01111;0;;0.41759;0.49365;15.89545;1.00625;1;0.67949;0.50148;16.48115;1.00625;1;0;0.00000;11;3.20011;1;3.20098;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;839.80725;200.75658;
0;NewMedia0;296;4.78542;54272440563901;0.39890;0.01115;4.55901;0.22642;14;1;0.37288;-0.04448;1;0.92396;0.01111;0;;0.41642;0.49407;15.25401;1.00625;1;0.67883;0.50216;15.30169;1.00625;1;0;0.00000;11;3.09510;1;3.26593;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;327.00293;124.52984;
0;NewMedia0;310;5.01206;54272442830233;0.41115;0.13702;4.80332;0.20874;15;1;0.52875;0.36098;1;0.92396;0.01111;3;;0.41641;0.49755;14.42399;1.00625;1;0.67911;0.50537;14.84650;1.00625;1;0;0.00000;10;2.91963;1;2.86843;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;137.95929;279.81604;
0;NewMedia0;336;5.43286;54272447038266;0.52799;0.31065;5.07696;0.35590;16;1;0.45255;0.12012;1;0.89167;0.03611;0;;0.41203;0.49680;15.71018;1.00625;1;0.67450;0.50426;16.50956;1.00625;1;0;0.00000;10;3.01033;1;3.11791;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;292.38516;320.10767;
0;NewMedia0;352;5.69198;54272449629494;0.49107;0.41950;5.49631;0.19567;17;1;0.55409;0.65780;1;0.67760;0.29815;0;;0.41304;0.50095;14.04835;1.03156;1;0.67507;0.50833;14.93817;1.02312;1;0;0.00000;10;2.75894;1;2.93810;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;137.27623;238.91043;
0;NewMedia0;374;6.04641;54272453173789;0.68553;0.72956;5.75581;0.29060;18;1;0.69273;0.72144;1;0.69271;0.62870;0;;0.41784;0.50128;15.05676;0.99136;1;0.68009;0.50891;15.78691;0.98392;1;0;0.00000;10;2.85138;1;3.16350;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;501.53220;318.11145;
0;NewMedia0;431;6.96873;54272462397145;0.68331;0.68833;6.06270;0.90604;19;1;0.64590;0.74284;1;0.68802;0.70278;0;;0.41209;0.50092;14.34382;1.00625;1;0.67425;0.50760;14.81882;1.00625;1;0;0.00000;10;2.86287;1;3.02432;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;44.73193;95.46794;
0;NewMedia0;455;7.35683;54272466277968;0.66092;0.64173;6.98493;0.37189;20;1;0.51686;0.33741;1;0.68802;0.70278;0;;0.41406;0.49867;12.71507;1.00625;1;0.67551;0.50565;15.04010;1.00625;1;0;0.00000;10;2.78616;1;3.04641;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;66.18869;130.50302;
0;NewMedia0;501;8.10256;54272473735301;0.42403;0.30394;7.42277;0.67979;21;1;0.37775;0.23837;1;0.68802;0.70278;0;;0.40529;0.49794;14.80015;1.00625;1;0.66755;0.50388;15.22051;1.00625;1;0;0.00000;10;2.98503;1;3.09201;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;583.05914;141.26727;
0;NewMedia0;521;8.42758;54272476985443;0.41580;0.20407;8.16714;0.26042;22;1;0.42506;0.25323;1;0.68802;0.70278;0;;0.40169;0.49781;14.83865;0.99136;1;0.66425;0.50303;15.12809;0.98392;1;0;0.00000;10;2.88258;1;2.98855;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;109.01093;98.33466;
0;NewMedia0;534;8.64445;54272479154226;0.40191;0.22175;8.44292;0.20154;23;1;0.41126;0.21083;0;0.68802;0.70278;0;;0.40118;0.49562;14.26716;1.00625;0;0.66446;0.50177;14.32404;1.00625;0;16;0.00000;10;2.77083;0;3.02533;0;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;32.79968;215.60205;
0;NewMedia0;595;9.69019;54272489611635;0.41905;0.23876;8.96908;0.72112;24;1;0.38243;0.15154;1;0.72969;0.64815;0;;0.39876;0.49490;14.20377;1.04813;1;0.66177;0.49855;13.92473;1.05656;1;0;0.00000;11;2.68566;1;2.79806;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;37.68914;330.82828;
0;NewMedia0;608;9.89792;54272491688901;0.40413;0.27877;9.70605;0.19187;25;1;0.28895;0.49109;1;0.76823;0.60648;0;;0.39499;0.49630;12.56431;0.98419;1;0.65812;0.49980;13.36633;0.98419;1;0;0.00000;11;2.86542;1;2.69473;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;51.84389;236.45786;
0;NewMedia0;629;10.24371;54272495146845;0.10361;0.82626;9.96208;0.28164;26;1;0.09691;0.84254;1;0.76719;0.58981;0;;0.39213;0.49809;16.13291;0.99890;1;0.65557;0.50203;16.46832;0.99890;1;0;0.00000;11;3.23626;1;3.20867;1;0.00000;0;0;0;0;0;0;1;1;0;0.00000;0;;826.16589;225.70082;
